ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,30.51,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,30.166,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,29.826,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,30.467,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,30.945,
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,30.501,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,31.116,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,31.352,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,29.99,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,30.809,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,30.228,
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,30.737,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,31.35,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,30.402,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,32.938,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,30.985,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,31.403,
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,32.231,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,33.586,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,31.885,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,31.851,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,31.517,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,30.89,
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,30.433,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,32.004,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,30.642,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,30.185,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,29.998,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,30.219,
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,29.868,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,29.365,
