"","CT1","CT2","Gene","ASO","Dose","treatment","Sample.Name","mean_CT","dCT","ddCT","fc"
"44",31.851,31.517,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-24",31.684,9.7835,-2.75433333333334,6.74740768411821
"45",30.89,30.433,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-24",30.6615,8.5795,-3.95833333333333,15.5445110584577
"46",32.004,30.642,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-24",31.323,9.39,-3.14783333333333,8.86323480273744
"47",30.185,29.998,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-24",30.0915,8.193,-4.34483333333333,20.3200681186995
"48",30.219,29.868,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-24",30.0435,8.3845,-4.15333333333333,17.7941773733099
"49",29.365,30.762,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-24",30.0635,8.3285,-4.20933333333334,18.4984608631543
"50",30.5,29.883,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-24",30.1915,8.517,-4.02083333333334,16.2327253590004
"51",30.448,29.642,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-24",30.045,8.4105,-4.12733333333333,17.4763661634676
"52",30.283,30.614,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-24",30.4485,8.902,-3.63583333333333,12.4306801691069
"53",29.856,30.588,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-24",30.222,8.3985,-4.13933333333333,17.6223367235694
"54",29.969,29.89,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-24",29.9295,8.09,-4.44783333333333,21.8238440231089
"55",30.242,30.667,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-24",30.4545,8.8325,-3.70533333333333,13.0441708137034
"56",31.313,30.621,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-24",30.967,9.389,-3.14883333333333,8.86938045862757
"57",31.35,29.997,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-24",30.6735,9.1305,-3.40733333333333,10.6098571967485
"58",30.304,30.412,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-24",30.358,8.817,-3.72083333333334,13.1850700722407
"59",32.227,30.899,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-24",31.563,9.8075,-2.73033333333333,6.63608945163089
"60",30.438,31.394,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-24",30.916,9.0545,-3.48333333333334,11.1837594734322
"61",30.38,30.494,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-24",30.437,8.366,-4.17183333333333,18.0238253417265
"62",29.93,31.607,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-24",30.7685,8.9965,-3.54133333333333,11.6425351551472
"63",30.608,31.552,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-24",31.08,9.2405,-3.29733333333334,9.83096701686886
"64",30.738,29.992,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-24",30.365,8.758,-3.77983333333333,13.7354601087697
"65",30.92,30.647,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-24",30.7835,9.3235,-3.21433333333333,9.28134143354202
"66",32.483,28.952,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-24",30.7175,9.28,-3.25783333333333,9.56545326588298
"67",29.503,30.874,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-24",30.1885,8.785,-3.75283333333334,13.4807918199499
"68",31.161,30.247,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-24",30.704,9.0185,-3.51933333333333,11.4663421845362
"69",30.106,30.949,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-24",30.5275,8.63500000000001,-3.90283333333333,14.9578750627183
"70",30.971,31.465,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-24",31.218,9.412,-3.12583333333333,8.72910253272005
"71",30.509,21.129,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-24",25.819,3.5255,-9.01233333333333,NA
"72",21.104,21.07,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-24",21.087,-1.6045,-14.1423333333333,NA
