ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
NT,0,NT,exp19-26,cf2223,31.583,CT
NT,0,NT,exp19-26,cf2223,30.715,CT
NT,0,NT,exp19-26,cf2223,32.432,CT
NT,0,NT,exp19-26,cf2223,30.632,CT
NT,0,NT,exp19-26,cf2223,30.691,CT
NT,0,NT,exp19-26,cf2223,30.844,CT
CHX,0,CHX,exp19-26,cf2223,28.746,CT
CHX,0,CHX,exp19-26,cf2223,28.755,CT
CHX,0,CHX,exp19-26,cf2223,28.830,CT
CHX,0,CHX,exp19-26,cf2223,29.000,CT
CHX,0,CHX,exp19-26,cf2223,28.995,CT
CHX,0,CHX,exp19-26,cf2223,28.707,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,31.040,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,31.121,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,31.053,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,31.177,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,30.275,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,31.033,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.750,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.768,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.846,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.870,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.961,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.484,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.858,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.548,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.186,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.360,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.402,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.301,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.363,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,26.910,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,30.081,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.869,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.266,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.292,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.459,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.136,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.140,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.156,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.519,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.090,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,28.775,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,29.157,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,29.056,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,29.453,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,28.648,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,28.660,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,28.993,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.052,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.101,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.535,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.589,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.047,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.187,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.086,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.711,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.037,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.865,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.198,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,29.111,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,29.035,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,28.596,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,28.628,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,28.997,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,28.836,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,28.994,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,28.607,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.190,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.152,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.620,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.179,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.273,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.668,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.494,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,28.904,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.593,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.283,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,29.115,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,29.109,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,28.671,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,29.009,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,29.080,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,28.937,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,29.069,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.733,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.935,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.635,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.676,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.807,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.406,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.614,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.398,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.235,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.531,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.365,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.712,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.348,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.620,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.518,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.592,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.483,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,28.401,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,27.964,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,NA,undetermined
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,NA,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,28.308,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,28.323,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,28.315,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,28.267,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,28.577,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,28.672,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,29.082,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,29.094,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.423,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.693,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.763,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.652,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.787,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.579,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.680,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.409,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.734,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.824,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.399,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.303,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.845,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,28.962,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.610,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.758,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.201,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.274,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,28.995,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,29.070,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,28.836,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,29.007,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,29.413,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,29.386,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,28.792,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,29.037,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,29.663,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,29.645,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,29.213,CT
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-26,cf2223,29.881,CT
NT,0,NT,exp19-26,rpl32,20.721,CT
NT,0,NT,exp19-26,rpl32,20.754,CT
NT,0,NT,exp19-26,rpl32,20.347,CT
NT,0,NT,exp19-26,rpl32,20.345,CT
NT,0,NT,exp19-26,rpl32,21.161,CT
NT,0,NT,exp19-26,rpl32,20.928,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.533,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.592,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.296,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.302,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.857,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,rpl32,20.348,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.720,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.523,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,19.820,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.568,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,20.508,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,rpl32,19.762,CT
CHX,0,CHX,exp19-26,rpl32,20.876,CT
CHX,0,CHX,exp19-26,rpl32,19.060,CT
CHX,0,CHX,exp19-26,rpl32,20.165,CT
CHX,0,CHX,exp19-26,rpl32,20.272,CT
CHX,0,CHX,exp19-26,rpl32,20.563,CT
CHX,0,CHX,exp19-26,rpl32,20.931,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.732,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.943,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.612,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.644,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.828,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,rpl32,20.997,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.453,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.248,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.742,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.167,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.156,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,rpl32,20.141,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.520,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,19.410,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.649,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.300,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.606,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,rpl32,20.410,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.717,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.629,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,21.183,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.977,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.866,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,rpl32,20.684,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.465,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.292,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.876,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.533,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.779,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,rpl32,20.899,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.304,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.939,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.527,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.625,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.358,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,rpl32,20.309,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.712,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,21.024,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.518,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.601,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,21.019,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,rpl32,20.861,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,20.766,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,20.813,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,rpl32,20.507,CT
