"","CT1","CT2","Gene","ASO","Dose","treatment","Sample.Name","mean_CT","dCT","ddCT","fc"
"41",28.671,29.009,"CFTR"," 478-494 + 517",120,"120 nM (60 pmol) 478-494 + 517","exp19-26",28.84,8.004,-2.43616666666667,5.41201810893721
"42",29.08,28.937,"CFTR"," 478-494 + 517",120,"120 nM (60 pmol) 478-494 + 517","exp19-26",29.0085,8.107,-2.33316666666667,5.03910202605883
"43",29.069,28.733,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-26",28.901,8.4345,-2.00566666666667,4.01574223229139
"44",28.935,28.635,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-26",28.785,8.079,-2.36116666666667,5.13785675016107
"45",28.676,28.807,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-26",28.7415,8.3575,-2.08266666666667,4.23589452621368
"46",28.406,28.614,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-26",28.51,7.9095,-2.53066666666667,5.7783863467117
"47",28.398,28.235,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-26",28.3165,7.188,-3.25216666666667,9.52795544391799
"48",28.531,28.365,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-26",28.448,7.764,-2.67616666666667,6.39155367017856
"49",28.712,28.348,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-26",28.53,7.564,-2.87616666666667,7.34196718680939
"50",28.62,28.518,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-26",28.569,7.6535,-2.78666666666667,6.90033625593753
"51",28.592,28.483,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-26",28.5375,7.8095,-2.63066666666667,6.19312114268764
"52",28.401,27.964,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-26",28.1825,7.6845,-2.75566666666667,6.75364649543356
"53",NA,NA,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-26",NA,NA,NA,NA
"54",28.308,28.323,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-26",28.3155,7.9855,-2.45466666666667,5.48186449394713
"55",28.315,28.267,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-26",28.291,7.608,-2.83216666666667,7.12142851818396
"56",28.577,28.672,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-26",28.6245,7.4625,-2.97766666666667,7.87711133372302
"57",29.082,29.094,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-26",29.088,7.7265,-2.71366666666667,6.5598674632531
"58",28.423,28.693,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-26",28.558,8.0265,-2.41366666666667,5.32826806680664
"59",28.763,28.652,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-26",28.7075,8.1315,-2.30866666666667,4.95424998408467
"60",28.787,28.579,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-26",28.683,7.624,-2.81616666666667,7.04288568756969
"61",28.68,28.409,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-26",28.5445,8.223,-2.21716666666667,4.64979356426233
"62",28.734,28.824,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-26",28.779,8.265,-2.17516666666667,4.51637934168925
"63",28.399,28.303,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-26",28.351,7.917,-2.52316666666667,5.74842475188697
"64",29.845,28.962,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-26",29.4035,8.556,-1.88416666666667,3.69139639281728
"65",29.61,29.758,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-26",29.684,9.02,-1.42016666666667,2.67616425433292
"66",29.201,29.274,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-26",29.2375,8.487,-1.95316666666667,3.87223541991397
"67",28.995,29.07,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-26",29.0325,8.5985,-1.84166666666667,3.58423856764781
"68",28.836,29.007,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-26",28.9215,8.675,-1.76516666666666,3.39913265707613
"69",29.413,29.386,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-26",29.3995,8.529,-1.91116666666667,3.76113128786425
"70",28.792,29.037,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-26",28.9145,8.4675,-1.97266666666667,3.92492929941636
"71",29.663,29.645,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-26",29.654,8.8105,-1.62966666666667,3.09441494281844
"72",29.213,29.881,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-26",29.547,8.756,-1.68416666666667,3.21354720911636
