ASO,Dose,treatment,Sample Name,Target Name,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,rpl32,22.296
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,rpl32,22.892
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,rpl32,22.470
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,rpl32,22.264
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,rpl32,22.233
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,rpl32,22.316
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,rpl32,22.437
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,rpl32,22.995
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,rpl32,22.552
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,rpl32,22.811
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,rpl32,22.923
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,rpl32,22.568
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,rpl32,22.630
