ASO,Dose,treatment,Sample Name,Target Name,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,31.915
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,31.622
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,32.095
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,33.096
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,cf2223,31.928
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,31.802
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,31.454
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,32.311
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,32.258
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,31.596
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,cf2223,32.330
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,31.632
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,32.143
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,32.941
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,32.578
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,34.517
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,cf2223,33.953
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,31.638
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,32.814
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,33.797
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,33.601
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,32.323
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,cf2223,33.506
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,33.968
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,33.864
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,32.712
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,33.403
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,32.148
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,cf2223,31.659
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,32.661
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,32.582
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,31.251
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,31.810
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,32.186
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,31.883
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,31.559
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,31.694
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,31.412
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,31.481
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,32.426
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,32.309
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,31.596
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,30.655
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,32.481
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,32.245
